CITIES/TIME;dimension1;dimension2;dimension3;dimension4;dimension5;dimension6;dimension7;dimension8;dimension9;dimension10;dimension11;dimension12;dimension13;dimension14;dimension15;dimension16;dimension17;dimension18;dimension19;dimension20;dimension21;dimension22;dimension23;dimension24;dimension25;dimension26;dimension27;dimension28;dimension29;dimension30;dimension31;dimension32;dimension33;dimension34;dimension35;dimension36;dimension37;dimension38;dimension39;dimension40;dimension41;dimension42;dimension43;dimension44;dimension45;dimension46
Bruxelles / Brussel;-0.09156775;-1.336629865;-0.802323094;-0.063179362;0.5349638;-0.823395267;1.015963854;0.152205918;2.370953711;-0.404903911;-0.040734941;0;0;0;0.571203691;0.246562973;-0.411175602;-0.018069856;0.053312599;0;-0.355605214;-0.33288408;0.091608335;0.223920215;0.542346309;-0.016713219;-0.109456981;-0.248954781;0.382349817;-0.163889852;-0.677954512;-0.700398011;-0.436719554;-0.417605219;-0.403778627;-0.030781606;-0.416808309;-0.262939117;0.118915349;-0.204951656;2.075043867;-0.290293722;-0.345010802;-0.345128203;-0.445063734;0.091859539
Sofia;-0.072719351;-0.212480749;-0.015820455;-0.029731465;-0.554619019;-0.198750582;-0.498186094;-0.612771889;-1.350523165;-0.374537625;-0.055250604;-0.554606638;0.215719625;0.280389445;-0.040695199;2.982016331;0.122424868;-0.300530231;-0.174046099;1.29570697;0.521520591;0.450964256;0.101938172;-0.076393355;-0.697790742;0.160933761;0.941330036;-0.170744197;-0.541477918;-0.009331141;0.883887433;0.971885919;0.310920113;0.248442816;-0.098426012;-0.042563753;-0.131488977;-0.244188352;-0.430587749;-0.315100663;-1.168179588;-0.681992565;-1.345420339;-0.728903143;0.302459334;2.139014976
Praha;-0.051050902;0.322828354;-0.476873726;-0.423673372;0.163223779;0.340715283;-0.270927865;-0.033358206;-0.095219025;1.244408968;0.262606432;0.921567489;1.421432953;0.043482516;-0.311342784;0.316344946;-0.27839016;-0.390403987;-0.089054235;-0.188157359;-0.145428875;-0.206747566;0.100523391;0.00359389;0.534728917;0.011850452;0.197022566;-0.072290658;-0.294427019;0;0;0;0;0;0;0;0;0;0;0;-0.718389474;-0.329195383;0.977269629;0.513480696;0.15295472;1.20237575
K?benhavn;-0.483594519;-1.021742158;-0.978608168;0.564897829;-1.84929978;-1.703576414;-0.344982963;-0.440525958;0.049196496;0;-0.505452101;-0.488020143;-0.682989803;-0.536008974;-1.076216396;-0.702471866;0;-0.416082203;-0.337387789;0;-0.663661509;-0.652086687;-0.516079818;-0.371540879;-0.376276898;-0.485922782;-0.45971932;-0.43400372;-0.676160171;-0.452820363;-0.735508506;-1.049106474;-0.805611788;-0.586124928;-0.391387507;-0.419364908;-0.427619676;-0.491673494;-0.385562335;-0.40373716;-0.931447949;-0.263096574;0.537959354;-0.299445228;0;0
Berlin;1.325117998;1.056516713;-0.788762704;-1.029451965;0.137586536;0.525269394;0.700633736;1.179291317;0.171394244;0.177838095;0.843592855;1.556702602;3.006658;2.048835161;-0.287808212;-0.018608526;1.14917318;0.829311272;0.927832994;1.107740634;1.923707865;1.581044451;3.211273016;3.875223981;3.090406637;3.525085107;3.830994332;1.219419388;1.2154405;0.938237554;-0.46902563;2.223601555;0.995752995;0.63286872;0.422359872;-0.261317266;0.738419169;0.590703319;1.269894254;1.371904483;-0.457984671;1.578146653;-0.036188728;2.52414679;0.721072252;-0.843959513
Tallinn;-0.566693156;0.552696381;1.855513409;2.382233609;0.522145178;0.326518813;-0.471055555;-0.242314466;0.837927416;-0.758046785;-1.000736128;-0.774446163;-0.677456635;-0.666729478;-1.617511568;-1.330509627;-0.61854171;-0.570151499;-0.509993373;-0.741359096;-0.669731584;-0.67396751;-0.716647056;-0.648804571;-0.899180885;-0.636136367;0.372153735;-0.505507528;-0.727548181;-0.547069239;0;-0.424935322;-0.462471714;-0.593814161;-0.541420535;-0.630508063;-0.414832038;-0.567634462;-0.698134452;-0.578191381;-0.884101621;-0.557750199;-0.097083221;-0.590733241;-0.714172039;-1.095753071
Dublin;-0.509977512;-1.966405281;-0.680279581;-0.36049401;-0.887903175;-1.107324669;-0.232960815;-0.408014069;0.704620782;0;-0.970433182;-0.300456271;-0.701420976;-0.689051609;-0.617292229;-1.428204389;0;-0.390403987;-0.378682036;-0.723020917;-0.690976845;-0.636641399;-0.687037871;-0.693383336;-0.586397086;-0.76568206;-0.547284905;-0.475926718;-0.302032919;-0.505077867;-0.670858815;-0.945709904;-0.758678993;-0.633420066;-0.539004506;-0.180940773;-0.649620824;-0.534096688;-0.480526049;-0.630725891;1.483214769;-0.445139875;0;0;-0.773973884;0.228008498
Athina;-0.419687623;0.552696381;0.133343838;-0.185821654;-0.65716799;0.283929402;-0.351775413;-0.014372696;0.982342937;0;-0.998048931;-0.252264179;-0.374196633;-0.63332605;2.724617091;1.614289652;0;-0.428921311;-0.175138539;0.067048967;0.202841665;0.133048757;-0.492790848;-0.474954923;-0.763266075;-0.413375255;0.109456981;-0.418005342;0.042115523;-0.408125202;-0.331447932;-0.552860467;-0.614273924;-0.45935982;-0.567028054;-0.336485341;-0.698020096;-0.478486668;-0.386099073;-0.453050214;2.548507145;0;0.172592393;-0.343025844;-0.146054507;0
Madrid;1.108549583;1.324171265;0.716440622;-0.234135285;0.637512771;0.894377617;0.087265924;0.89221862;-0.195199;0;1.33834904;3.14408208;0.7270861;2.686328836;0.571203691;-0.660602682;1.001434493;0.534011788;0.574843649;-0.024641928;0.483582624;0.564229697;1.562164136;0.7271951;0.449610984;1.523819695;-0.240805358;0.968893596;2.60835804;1.197536588;2.859645089;0.702934548;2.1980412;1.142018274;1.043542538;0.329205969;0.66440587;1.153028084;0.891125863;0.91142216;1.199136802;0.670736283;-0.484198216;1.278715718;0.870576865;0.556898454
Paris;0.531162512;-0.70685445;0.390991254;-0.234135285;-0.362339698;-0.354911753;0.039359798;0.585350798;0.071414268;2.065127012;2.730916993;0.527555963;-0.056062798;2.076590146;0;0;3.481106356;0.700920192;0.505932508;-0.631330022;0.112549303;0.171661975;1.341309761;1.608850715;1.311617285;1.411292717;0.809981659;0.561757319;1.214521268;0.948203593;-0.281778047;0.606990689;0.330745372;0.640772426;0.941136384;1.069193073;1.220241874;0.559261196;0.974069237;1.593193715;0.465268721;3.11857301;1.660157878;2.904618165;0.451963947;-1.445967563
Zagreb;-0.335805164;0;0.567276328;0.167239489;0.278591372;0.113571761;-0.51104183;-0.694352328;-1.472720913;-0.795539694;-0.4318181;-0.54728927;-0.032335896;-0.504515668;1.536121171;0.581516445;1.642862246;-0.351886663;-0.37916271;-0.385292785;-0.447415095;-0.456446379;-0.46760043;-0.581002986;-0.664667926;-0.480755809;0.591067697;-0.366693932;-0.292099287;-0.280709656;2.498158702;0.579951728;-0.364011625;-0.269329323;-0.496197729;-0.319545344;-0.57522002;-0.472269444;-0.324118791;-0.548811085;0.488941885;-0.687250675;-0.423303722;-0.699596175;-0.355360966;-0.720113171
Roma;0.924775866;0;0.21470618;-0.75815235;1.047708655;1.26348584;0.174681565;0.677623958;-0.139654569;0.750148038;1.456969601;1.980566193;1.751849997;0.597771601;0;0;0;0.123160332;0.273286399;0.125119868;0.32576068;0.596407379;1.806822143;1.065453611;2.146919921;0;0.591067697;0.525239541;0.743251995;0;0;0.365235178;0.369591851;0.427324719;0.356840027;-0.111006398;-0.075959627;0.16475743;0;1.28608676;-0.079214048;2.226644027;1.346986197;1.7095991;3.23274976;1.805203974
Lefkosia;-0.677894552;0;-0.124303578;-1.876798709;-0.785354204;-0.979556438;-0.367878737;-0.599135633;0.660185237;0;0;0;0;0;0.229952387;-0.144216078;-0.608026501;0;-0.621728178;0;0;0;-0.935742107;-0.872438939;-0.881207264;-0.935368674;0;-0.6301062;-0.779469939;-0.688862683;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Riga;-0.434780027;0.867584089;2.208083557;2.857937045;0.688787256;0.795002327;-0.50041846;0.113610339;1.004560709;-0.580897092;-0.49993375;-0.758910349;-0.325962673;-0.505899753;-0.770266952;0.009304263;-0.656891296;-0.454599527;-0.402672027;0.11747896;-0.058930309;-0.210608888;-0.538864894;-0.505343691;-0.151435459;-0.414586265;0.240805358;-0.404072243;-0.564458708;-0.375790921;-0.074031781;-0.21652089;-0.262932672;-0.334393897;-0.506734966;-0.546819422;-0.103627426;-0.480497906;-0.493446723;-0.543173537;-0.529004163;-0.546995969;-0.72777619;-0.621359815;-0.564667425;-1.063766267
Vilnius;-0.493337013;-0.391966742;1.88263419;1.687260622;-0.01623692;-0.269732932;-0.511821476;-0.684128026;-1.39495871;-0.663626858;-0.573375808;-0.835874768;-0.626759249;-0.376666816;0.947756854;-0.227954447;0;-0.390403987;-0.420282167;-0.38070824;-0.279729279;-0.516940422;-0.632025081;-0.625501933;-0.281230679;-0.543663702;-0.28458815;-0.436116327;-0.776371239;-0.377138879;-0.244328531;-0.259354371;-0.242808771;-0.369754042;-0.561286994;-0.582608326;-0.29745702;-0.405696704;-0.504644642;-0.491413416;-1.452257555;-0.607077201;-0.788670684;-0.70815031;-0.355360966;-0.400245134
Luxembourg;-0.754977366;0;-1.46678222;-1.363930943;-0.131604513;0.198750582;0;0;0;0;0;0;0;0;-0.240739066;0.735036787;0.026040606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Budapest;0.248407823;0;0.838484135;0.802749547;0.137586536;0.539465864;-0.366319447;-0.549089761;-1.183889872;0.282494727;0.48914675;-0.145828323;1.119818062;0.43092693;0;0;-0.751574569;-0.030908964;-0.031067498;1.068007912;0.896347709;1.031449641;0.63475277;0.532215659;0.99926143;0.928552145;-0.240805358;0.167884001;0.39449257;-0.049068371;0.367084104;0.817026413;-0.098587482;-0.047537051;-0.157642651;-0.233378912;-0.188839597;-0.266462455;-0.163201201;-0.145710943;0.133844427;-0.274567168;-0.492897429;0.049614047;0.601468561;-0.444534554
Valletta;-0.691603811;0.552696381;-1.426101049;-1.122362793;0.855429335;0.894377617;0;0;-0.239634545;0;-1.170065539;-0.398860112;-0.989018508;-1.100094443;0.38292711;-0.102346894;-0.579619973;0;-0.647771957;0;-0.990686788;-0.949408469;-0.957482786;-0.879862082;0;-0.857218211;-0.941330036;-0.671208465;-0.863668586;-0.725662938;0;0;0;0;0;0;0;0;0;0;-0.836755293;0;1.916784673;-0.462160331;-0.684271116;1.67561641
Greater 's-Gravenhage;-0.514446461;-0.70685445;-0.978608168;-0.312180379;0.163223779;-0.709823506;-0.31560884;-0.513350971;0.015869837;-0.881660857;-1.053976222;-0.297496699;-0.724096364;-0.712003261;-0.546688511;0.134911815;0;-0.428921311;-0.441693999;-0.820824539;-0.694011883;-0.565850499;-0.332188473;-0.183115443;-0.278663019;-0.293905158;-0.941330036;-0.359109413;-0.426573971;-0.554725053;-0.502138887;-1.121750801;-0.781054197;-0.70981196;-0.677256401;-0.609573261;-0.64004947;-0.488029042;-0.448901777;-0.592455615;-0.126560376;0;-1.049647085;-0.770515225;-0.564667425;-0.547876535
Wien;0.253984388;0.395252527;-0.273467871;0.111492993;-0.041874163;-0.02839294;0.4966583;0.710170545;1.137867343;0;0.75819037;0;0;0;-0.134833489;1.279336179;-0.151743745;0.3927816;0.107628736;0;0;0;0.732622433;0.744209794;0.674281245;0.871473243;0;0.217387217;0.717202159;0.187604636;0;0;0;0;0;0;0;0;0;0;0.583634541;0;-0.027489514;0.568102192;-0.325460043;0
Warszawa;0.234859849;0.363763756;1.123252332;0.267583182;0.022218944;0.354911753;-0.503694093;-0.683480333;-1.494938685;1.46831149;2.187347391;-0.583775128;0.847488682;0.791698618;0.053443092;0.134911815;-0.495946743;0.110321224;0.118596837;1.231523343;1.041270744;0.87056123;0.537641103;0.302089366;0.042893618;0.833076177;0.678633282;0;0;0.005984425;-0.584527824;0.611043919;0.020318123;-0.076185004;-0.072352032;0.329838059;0.222573597;-0.233732112;-0.126049391;-0.533725999;0;-0.212215428;-1.093143151;-0.38522782;0.990180556;1.400037793
Lisboa;-0.517176706;2.442022627;1.218175064;0.594629294;4.149815033;3.804653991;-0.42594269;-0.505734792;-0.37294118;-0.418008456;0.029096196;-0.073112949;-0.870468795;-0.667811737;0;0;0.388629757;-0.428921311;-0.470840309;-0.793317271;-0.682630493;-0.698422549;-0.607075843;-0.593543397;-0.666936026;-0.413213788;-0.897547243;-0.485602332;-0.488266271;-0.392278325;0.748280763;-0.972487366;-0.583559706;-0.335108805;-0.405943485;-0.420591162;-0.327914849;-0.103034618;-0.767880125;-0.58416966;0.465268721;-0.15155298;2.695364269;0.304647298;-0.594568348;0
Bucuresti;0.46209937;0;0.64863867;-0.092910827;-1.028908011;-0.411697633;0;0;0;-0.327722282;0.741095477;0;0;0;0.359392537;0.344257736;-0.715080608;0.354264276;0.120257347;1.647188737;1.408510268;1.215505982;0;0;0;0;-0.634850489;0;-0.61857476;0;0;0;0;0;0;0;0;0;0;0;0;-0.542096844;-1.345420339;-0.573776106;0;0
Ljubljana;-0.64923768;0.552696381;-0.21922631;-0.20440382;0.252954129;0.340715283;-0.499274232;-0.589934918;-0.550683359;-0.868314069;-0.78219742;-0.616905249;-0.670558195;-0.862096632;-0.170135348;0.079086237;-0.683303028;-0.595829715;-0.611765122;-0.998093604;-0.958818895;-0.914656572;-0.861844041;-0.741345529;-0.747047022;-0.769169767;-1.028895621;-0.625455021;-0.70054946;-0.603905866;-0.571519044;-0.749481309;-0.724978351;-0.698444923;-0.629617566;-0.601634218;-0.590177682;-0.555247727;-0.666367339;-0.712470331;0.678327196;-0.615300706;-0.284116308;-0.775219844;-0.714172039;0.282140012
Bratislava;-0.56699129;0.300786215;0.499474377;0.081761528;-0.56743764;-0.212947052;0;0;-1.450503141;-0.632268159;-0.390538433;0;0;0;-1.276260264;-1.456117179;-0.465189757;-0.518795067;-0.511653883;-0.635914566;-0.613583392;-0.643076936;-0.781167086;-0.742737923;-0.851037257;-0.734050499;-0.45971932;-0.526443211;-0.665855881;0;0;0;0;0;0;0;0;0;0;-0.70866034;-0.315945687;-0.710913634;0.094299473;-0.732125702;-0.654370193;-0.636455376
Helsinki / Helsingfors;-0.441582116;-0.077079035;0.22826657;0.471987002;-0.426432805;-0.184554112;-0.385373083;-0.523638885;-0.528465586;-0.798134034;-0.542317087;0;-0.614081722;-0.438657405;0;0;-0.077054834;-0.570151499;-0.436712471;-0.709267283;-0.678077937;-0.639215614;-0.438342248;-0.2845961;-0.507783892;-0.294615617;-0.503502112;-0.398862794;-0.34339834;-0.440690703;-0.574672688;-0.856486561;-0.501341166;-0.591133256;-0.373578261;-0.499716117;-0.535694593;-0.435799224;-0.462882943;-0.415027743;0.488941885;-0.40284721;-0.397206082;-0.52642254;-0.863676652;-1.023577719
Stockholm;-0.297331875;-1.021742158;-0.788762704;0.130075158;-0.387976941;-0.752412916;-0.305322007;-0.429503607;-0.417376724;-0.125441869;-0.690700755;-0.473160138;-0.257813548;-0.18257164;0;0;0;-0.403243095;-0.13882582;-0.758169094;-0.654556397;-0.572286035;0;0;0;0;0;-0.273834931;-0.506828818;-0.217682257;-0.426451443;-0.480242289;-0.382366644;-0.387499648;-0.034724169;-0.208777992;-0.339578725;-0.252446176;-0.286746226;-0.271115402;-0.789408966;0.351112478;0;-0.157351019;-0.624469271;-0.266556698
London (greater city);4.508532572;0;-1.182014023;-1.653812724;-0.01623692;-1.22089643;4.607134097;4.215324642;0.849036302;2.531381567;0;0;0;0;-1.970530158;-1.525899152;0;4.655365452;4.894396719;2.917107643;3.374455737;3.652000071;-1.130402582;-0.971547206;-1.159070885;-1.023465558;-1.072678413;4.368764465;3.050197076;4.253434632;-0.52697383;2.438475004;3.369339516;3.987554778;4.044250946;4.222674628;4.010465762;4.136388952;3.755494461;3.402165036;-1.002467441;-0.789433465;-1.754283367;-0.923315197;2.515127615;-0.72175352
Oslo;-0.444173679;-1.651517573;-1.182014023;-0.111492993;-0.734079719;-1.20669996;-0.234419145;-0.508753506;0.026978724;0;-0.763782921;-0.41923533;-0.700411861;-0.386420083;1.030127858;-0.325649209;-0.554878305;-0.467438635;-0.291199408;-0.863613624;-0.784304245;-0.730600231;-0.439184225;-0.221911784;-0.495373534;-0.565574895;0;0;0;-0.385164645;0;0;0;0;0;0;0;0;0;0;0;0;-0.284116308;-0.534069086;-0.714172039;0.170596286
ZÅrich;-0.582861407;-0.190438609;-1.141332852;-0.063179362;-1.144275603;-0.511072924;-0.024694525;-0.493336092;2.004360467;-0.890608206;-0.367949182;-0.610232617;-0.786419763;-0.694169702;0.653574695;-0.53499513;-0.764254674;-0.544473283;-0.506410169;-0.923212706;-0.922398446;-0.867033603;-0.716582454;-0.586275458;-0.943772582;-0.646131229;-1.072678413;-0.526407714;-0.800167476;-0.353007468;-0.685838621;-0.987811188;-0.575312582;-0.569459628;-0.351750273;0.084701134;-0.443197344;-0.331904791;-0.384350346;-0.432281117;-1.097160096;-0.62692632;-0.179725748;-0.599714373;-0.744072962;-0.341192573
